game_id,season,week,play_id,game_play_number,sequence_number,period,clock_minutes,clock_seconds,pos_team_id,home_team_id,away_team_id,home_score_start,away_score_start,yards_to_endzone_start,play_type,orig_play_type,status_completed
401864494,2026,1,401864494263,56,55,2,8,14,30,30,23,14,0,91,Rush,Rush,true
401864494,2026,1,401864494267,57,56,2,7,40,30,30,23,14,0,86,Pass Reception,Pass Reception,true
401864494,2026,1,401864494272,58,57,2,7,8,30,30,23,14,0,70,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494277,59,58,2,7,0,30,30,23,14,0,70,Rush,Rush,true
401864494,2026,1,401864494281,60,59,2,6,20,30,30,23,14,0,66,Rush,Rush,true
401864494,2026,1,401864494285,61,60,2,5,37,30,30,23,14,0,55,Pass Reception,Pass Reception,true
401864494,2026,1,401864494290,62,61,2,5,22,30,30,23,14,0,35,Pass Reception,Pass Reception,true
401864494,2026,1,401864494295,63,62,2,4,48,30,30,23,14,0,29,Pass Reception,Pass Reception,true
401864494,2026,1,401864494300,64,63,2,4,23,30,30,23,14,0,22,Sack,Sack,true
401864494,2026,1,401864494306,65,64,2,3,43,30,30,23,14,0,35,Pass Reception,Pass Reception,true
401864494,2026,1,401864494311,66,65,2,3,23,30,30,23,14,0,22,Pass Reception,Pass Reception,true
401864494,2026,1,401864494318,67,66,2,2,46,30,30,23,14,0,9,Passing Touchdown,Passing Touchdown,true
401864494,2026,1,401864494327,68,68,2,2,45,23,30,23,21,0,65,Kickoff,Kickoff,true
401864494,2026,1,401864494330,69,69,2,2,39,23,30,23,21,0,75,Pass Reception,Pass Reception,true
401864494,2026,1,401864494335,70,70,2,2,18,23,30,23,21,0,57,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494338,71,71,2,2,11,23,30,23,21,0,57,Pass Reception,Pass Reception,true
401864494,2026,1,401864494343,72,72,2,1,54,23,30,23,21,0,53,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494345,73,71,2,2,0,23,30,23,21,0,57,Timeout,Timeout,true
401864494,2026,1,401864494347,74,73,2,1,44,23,30,23,21,0,53,Punt,Punt,true
401864494,2026,1,401864494351,75,74,2,1,37,30,30,23,21,0,80,Pass Reception,Pass Reception,true
401864494,2026,1,401864494356,76,75,2,1,19,30,30,23,21,0,63,Pass Reception,Pass Reception,true
401864494,2026,1,401864494361,77,76,2,0,57,30,30,23,21,0,50,Pass Reception,Pass Reception,true
401864494,2026,1,401864494366,78,77,2,0,47,30,30,23,21,0,17,Rush,Rush,true
401864494,2026,1,401864494370,79,78,2,0,39,30,30,23,21,0,11,Rush,Rush,true
